id,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Age,Age_Range,Complain,Days_Customer,Education,Income,Income_Level,Income_Per,Kidhome,Marital_Status,NumAcceptedCmp,NumCatalogPurchases,NumDealsPurchases,NumPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Perferred_Purchase,Recency,Response,Teenhome,target
15,0,0,0,0,0,45,4,0,3376,2,75330.0,0.46386324870533324,37665.0,1,1,0,3,4,29,7,7,6,2,94,0,1,1109
16,1,0,0,1,1,53,5,0,3229,2,80952.0,0.5132217101050509,80952.0,0,1,4,5,1,25,7,7,7,2,20,1,0,1757
17,0,0,0,0,0,62,6,0,3002,4,77037.0,0.7799082782429108,77037.0,0,1,0,7,1,27,7,7,3,2,3,0,1,1123
18,0,0,0,0,1,75,7,0,2998,3,91712.0,0.8063727645207238,91712.0,0,2,2,7,0,27,7,7,3,2,47,1,0,2217
19,0,0,0,0,0,70,7,0,3346,3,33444.0,0.29405454833207306,16722.0,1,1,0,0,1,4,2,1,7,2,24,0,1,18
20,0,0,0,0,0,61,6,0,3255,2,49678.0,0.5029308442248701,49678.0,0,1,0,2,2,14,4,6,7,0,81,0,1,315
21,0,0,0,0,0,46,4,0,2792,3,46106.0,0.2839091855145107,23053.0,1,3,0,1,1,5,2,1,6,2,84,0,1,54
22,0,0,0,0,0,69,6,0,2809,3,59354.0,0.6008888708909969,59354.0,0,1,0,4,1,16,7,4,3,2,59,0,2,459
23,0,0,0,0,0,48,4,0,3131,4,30351.0,0.18689384656120495,15175.5,1,3,1,0,1,6,2,3,7,0,19,1,0,46
24,0,0,0,0,0,47,4,0,3015,2,80144.0,0.4935066534480317,80144.0,0,3,0,7,1,19,7,3,1,2,47,0,0,1367
25,0,0,0,0,0,52,5,0,3003,2,24163.0,0.15318925018860988,12081.5,1,2,0,0,2,6,3,1,4,2,3,0,1,17
26,0,0,0,0,0,46,4,0,2745,2,78416.0,0.48286606279672656,78416.0,0,3,0,7,2,26,7,7,3,2,99,0,1,1179
27,0,0,0,0,0,47,4,0,3352,2,23957.0,0.14752119805168815,11978.5,1,1,1,0,1,6,3,2,6,2,47,1,0,68
28,0,0,0,0,0,34,3,0,2987,3,78285.0,0.7677258017063843,78285.0,0,1,0,4,1,21,7,6,3,2,13,0,0,1427
29,0,0,0,0,0,51,5,0,3153,2,38590.0,0.24465394051973904,19295.0,1,3,0,0,1,4,2,1,7,2,65,0,0,22
30,0,0,0,0,0,36,3,0,3099,3,28072.0,0.2752966558791802,14036.0,1,1,0,0,1,5,3,1,7,2,10,0,0,47
31,0,0,0,0,0,47,4,0,3237,2,33249.0,0.20473900379933127,16624.5,1,2,0,1,2,8,3,2,6,2,11,0,0,112
32,0,0,0,0,0,48,4,0,2777,2,69719.0,0.4293121178346891,69719.0,0,2,0,3,1,11,5,2,1,2,99,0,0,801
33,0,0,0,0,0,39,3,0,2781,2,30096.0,0.29514563106796116,15048.0,1,1,0,0,1,6,3,2,6,2,30,0,0,45
34,0,0,0,0,0,66,6,0,3142,3,62058.0,0.6282636646182815,62058.0,0,1,0,1,4,18,7,6,6,2,52,0,1,450
35,0,1,0,1,0,39,3,0,3017,4,70123.0,0.6876826517603216,70123.0,0,3,2,7,1,17,4,5,3,1,27,0,0,1727
36,0,0,0,0,0,49,4,0,2841,0,69401.0,0.42735395358288636,69401.0,0,3,0,4,4,17,5,4,2,2,41,0,1,690
37,0,0,0,1,0,43,4,0,3348,2,71626.0,0.44105494559628566,71626.0,0,1,1,5,1,19,7,5,3,2,94,0,0,1305
38,0,0,0,1,0,78,7,0,2957,4,55614.0,0.4889830657499077,55614.0,0,0,1,4,1,20,6,7,7,0,85,0,0,682
39,0,0,0,0,0,45,4,0,2925,2,31353.0,0.19306391127914924,15676.5,1,1,0,1,2,6,2,1,7,2,24,0,1,31
40,0,0,0,0,0,50,5,0,3192,2,72504.0,0.4596628479772781,72504.0,0,2,0,7,2,22,6,5,2,1,43,0,1,1478
41,0,0,0,0,0,47,4,0,3204,2,27573.0,0.16978761922941926,13786.5,1,1,0,1,4,14,4,5,7,0,45,0,0,244
42,0,0,0,0,0,57,5,0,3162,3,35791.0,0.22690876354345635,11930.333333333334,2,2,0,0,2,6,3,1,7,2,94,0,1,35
43,0,0,0,0,0,51,5,0,3367,2,43300.0,0.2745145277145556,43300.0,0,0,1,0,3,11,4,4,7,0,87,1,1,180
44,0,0,0,0,0,69,6,0,3225,4,64504.0,0.6530265142695162,32252.0,1,3,1,3,7,25,4,7,7,0,81,1,2,1314
45,0,0,0,0,0,37,3,0,3412,2,29760.0,0.2918505442777287,14880.0,1,2,0,1,4,12,4,3,7,2,87,0,0,165
46,0,0,0,0,0,36,3,0,3315,2,32880.0,0.32244777875845837,16440.0,1,1,0,0,1,5,3,1,7,2,76,0,0,42
47,0,0,0,0,0,63,6,0,3100,4,33762.0,0.3418002166496249,11254.0,2,1,0,2,3,9,2,2,7,0,61,0,1,106
48,0,0,0,0,0,36,3,0,3250,0,7500.0,0.07355104442483083,3750.0,1,1,0,0,2,7,3,2,7,2,96,0,0,36
49,0,0,1,0,0,58,5,0,3244,2,41638.0,0.2639777345260662,41638.0,0,0,1,5,4,17,3,5,7,0,68,0,1,441
50,0,0,0,0,0,68,6,0,3325,2,22507.0,0.22785668728550168,22507.0,0,2,0,2,3,19,4,7,7,0,67,0,0,570
51,0,0,0,0,0,72,7,0,3441,0,52203.0,0.4589920340443491,52203.0,0,3,0,7,1,27,7,7,6,2,36,0,0,939
52,0,0,0,0,0,54,5,0,3256,2,36997.0,0.23455459542391255,18498.5,1,0,0,1,5,12,4,2,5,2,72,0,1,94
53,0,0,0,0,0,58,5,0,2959,2,75236.0,0.4769832565157576,75236.0,0,1,0,3,1,25,7,7,4,2,27,0,1,1068
54,0,0,0,0,0,46,4,0,2905,2,12571.0,0.07740906543840095,6285.5,1,0,0,1,4,11,3,3,6,0,86,0,0,53
55,0,0,0,0,0,33,3,0,2964,2,18358.0,0.18003334314013925,9179.0,1,2,0,0,3,10,4,3,7,2,49,0,0,57
56,0,0,0,0,0,51,5,0,3395,2,43824.0,0.27783659728782184,21912.0,1,1,0,1,4,12,4,3,7,2,18,0,1,186
57,0,0,0,0,0,57,5,0,2856,0,76800.0,0.4868987466161171,76800.0,0,1,0,4,1,16,7,4,1,2,33,0,0,641
58,0,0,0,0,0,46,4,0,2801,4,37395.0,0.2302690320634002,18697.5,1,3,0,0,1,5,3,1,6,2,47,0,0,39
59,1,0,0,0,0,57,5,0,2796,2,81168.0,0.5145911128299088,81168.0,0,1,1,4,1,18,7,6,3,2,84,0,0,1193
60,1,0,0,0,0,61,6,0,3201,3,80950.0,0.8195227633963372,80950.0,0,1,1,7,1,23,7,6,2,2,44,0,0,1213
61,1,0,0,0,0,44,4,0,2975,2,75437.0,0.4645221278718203,75437.0,0,3,1,4,1,23,7,7,6,2,25,0,0,1493
62,0,0,0,0,0,40,4,0,2990,4,70038.0,0.43127643983571123,70038.0,0,3,0,4,1,17,7,4,2,2,54,0,0,1244
63,0,0,0,0,1,40,4,0,3193,2,79908.0,0.49205342463222845,79908.0,0,1,1,6,1,19,7,5,2,2,30,0,0,1772
64,0,0,0,1,1,49,4,0,2906,2,65333.0,0.4023042297579389,65333.0,0,2,2,4,7,28,7,7,6,0,58,0,1,798
65,0,0,0,0,0,33,3,0,3137,2,38360.0,0.37618907521820144,19180.0,1,1,0,1,2,9,4,2,3,2,26,0,0,131
66,0,0,0,0,0,57,5,0,3090,4,40637.0,0.2576315672687389,20318.5,1,2,0,0,2,6,3,1,7,2,72,0,1,38
67,0,0,0,0,0,46,4,0,2898,3,75012.0,0.46190508445353057,75012.0,0,0,0,7,1,23,7,3,1,2,41,0,0,1027
68,0,0,0,0,0,56,5,0,3435,3,29435.0,0.18661282039902874,14717.5,1,0,1,2,4,11,2,3,7,0,11,1,1,180
69,0,0,0,0,0,73,7,0,3139,3,47570.0,0.418256633900153,23785.0,1,4,1,2,3,9,2,2,7,0,3,1,1,121
70,0,0,0,0,0,56,5,0,2971,2,43482.0,0.2756683763067969,14494.0,2,3,0,0,3,9,4,2,6,2,83,0,1,88
71,1,0,0,1,0,33,3,0,2828,2,75433.0,0.7397567912131019,37716.5,1,1,2,5,2,19,7,2,6,2,28,0,0,1188
72,0,0,0,0,1,67,6,0,3330,3,82384.0,0.8340403130283366,82384.0,0,3,2,7,1,27,7,3,1,2,55,1,0,1957
73,0,0,0,0,0,52,5,0,2812,2,50447.0,0.31982527435603203,16815.666666666668,2,1,0,1,1,8,3,3,6,0,4,0,0,148
74,0,0,0,0,0,57,5,0,2896,2,69139.0,0.4383293286756734,69139.0,0,1,0,1,1,11,5,4,4,2,23,0,1,227
75,0,0,0,0,0,57,5,0,2947,3,65735.0,0.41674855610430284,32867.5,1,3,0,2,5,19,6,6,7,0,37,0,1,395
76,0,0,0,0,0,46,4,0,3056,0,26907.0,0.16568655824922873,13453.5,1,3,0,0,2,6,3,1,7,2,10,0,1,22
77,0,0,0,0,0,42,4,0,2900,2,33228.0,0.20460969106572166,16614.0,1,1,0,0,1,6,3,2,7,2,28,0,0,71
78,0,0,1,0,0,39,3,0,3025,3,36262.0,0.35561439639109543,36262.0,0,1,2,5,1,12,3,3,6,1,24,1,0,426
79,0,0,1,0,0,61,6,0,2899,4,57072.0,0.5777863267764763,57072.0,0,1,1,5,2,27,7,7,5,2,79,0,1,1034
80,0,0,0,0,0,53,5,0,3123,2,30822.0,0.19540616104429637,15411.0,1,2,0,0,1,5,3,1,7,2,92,0,0,51
81,0,0,0,0,0,69,6,0,3323,4,46231.0,0.4680340565111311,15410.333333333334,2,2,0,1,4,15,4,6,7,0,87,0,1,263
82,0,0,0,0,0,51,5,0,2908,2,16626.0,0.10540597084947348,5542.0,2,3,0,0,3,9,3,3,7,0,76,0,0,68
83,0,0,0,0,0,68,6,0,3045,3,44551.0,0.45102604857406076,44551.0,0,4,0,1,2,12,5,4,7,2,24,0,1,285
84,0,0,0,0,0,70,7,0,3310,2,51537.0,0.45313626532083634,51537.0,0,0,0,2,3,18,7,2,7,2,27,0,1,1103
85,0,0,0,0,0,51,5,0,3332,2,36715.0,0.2327667640886815,18357.5,1,1,1,2,6,19,4,7,7,0,16,1,0,357
86,0,0,0,0,0,44,4,0,2828,2,55563.0,0.34214301988337226,55563.0,0,0,0,0,1,6,3,2,3,2,22,0,1,43
87,1,0,0,0,0,73,7,0,3230,2,72643.0,0.6387096206938998,72643.0,0,4,2,7,1,21,7,3,2,1,60,1,0,1429
88,1,0,1,0,1,38,3,0,2931,2,90000.0,0.8826125330979699,90000.0,0,1,3,7,1,18,5,4,1,1,91,0,0,1479
89,0,0,0,0,0,59,5,0,3117,3,49476.0,0.3136693019216017,49476.0,0,0,0,7,4,22,5,2,2,1,29,0,1,795
90,1,0,0,0,0,76,7,0,2762,4,64014.0,0.5628396082086271,21338.0,2,3,1,2,7,22,5,7,7,0,56,0,1,444
91,0,0,0,0,0,59,5,0,2749,4,4023.0,0.025505125750477073,2011.5,1,1,0,0,7,15,0,0,7,0,29,0,1,9
92,0,0,0,0,0,33,3,0,2882,2,46107.0,0.45216240070609004,23053.5,1,2,0,1,1,7,4,1,3,2,78,0,0,125
93,0,0,0,0,0,52,5,0,3349,2,31880.0,0.20211369846512778,15940.0,1,4,0,0,1,4,2,1,7,2,13,0,0,15
94,1,1,0,1,1,64,6,0,3284,4,84460.0,0.8550573514077163,84460.0,0,3,5,7,0,22,4,7,5,0,80,1,0,523
95,0,0,0,0,0,62,6,0,2840,3,41275.0,0.41786043309677356,20637.5,1,3,0,1,4,11,3,3,5,0,33,0,2,61
96,0,0,0,0,0,51,5,0,3054,4,32011.0,0.20294421585844433,16005.5,1,1,0,1,3,10,4,2,7,2,89,0,0,122
97,0,0,0,0,0,51,5,0,2778,4,32892.0,0.2085296038241839,16446.0,1,3,0,0,2,8,3,3,7,0,78,0,0,46
98,0,0,0,0,0,36,3,0,3424,2,26816.0,0.26297930763950184,26816.0,0,2,0,0,1,4,3,0,4,2,50,0,0,22
99,0,0,0,0,0,63,6,0,2969,2,63033.0,0.6381343835103314,63033.0,0,0,0,4,1,16,7,3,2,2,82,0,0,1102
100,0,0,0,0,0,46,4,0,3105,4,14849.0,0.091436418160434,7424.5,1,0,0,0,3,9,4,2,7,2,39,0,0,65
101,0,0,0,0,0,63,6,0,3094,2,23295.0,0.23583425291312754,23295.0,0,0,0,0,1,4,2,1,7,2,72,0,0,20
102,0,0,0,0,0,64,6,0,3162,0,75342.0,0.7627484130921166,75342.0,0,2,0,2,1,18,7,5,4,2,38,0,1,563
103,1,0,0,0,1,49,4,0,3034,2,65308.0,0.40215028602745123,65308.0,0,1,2,7,1,28,7,7,4,2,60,0,0,1211
104,0,0,0,0,0,72,7,0,3147,4,48699.0,0.42818330490442613,24349.5,1,1,0,0,1,5,3,1,5,2,90,0,1,40
105,1,0,0,0,0,71,7,0,2953,0,78497.0,0.6901805968312026,78497.0,0,1,1,7,1,25,7,5,2,2,44,0,0,978
106,0,0,1,0,0,51,5,0,3281,2,52914.0,0.3354656286255888,52914.0,0,1,1,3,2,15,3,7,7,0,32,0,1,575
107,0,0,0,0,0,43,4,0,3407,2,21645.0,0.13328448185619193,10822.5,1,3,1,0,3,9,3,3,7,0,75,1,0,65
108,0,0,0,0,0,38,3,0,3321,4,42710.0,0.4188486809846033,21355.0,1,2,0,5,2,14,3,4,6,1,38,0,0,406
109,1,0,0,0,0,47,4,0,3023,2,55801.0,0.3436085641976145,27900.5,1,2,1,2,6,21,6,7,7,0,35,0,1,527
110,0,0,0,0,0,57,5,0,2812,2,33456.0,0.212105266494646,16728.0,1,3,0,0,2,6,3,1,7,2,58,0,1,36
111,0,0,0,0,0,36,3,0,3275,3,42386.0,0.4156712758654506,21193.0,1,3,0,0,1,7,3,3,7,0,43,0,0,100
112,0,0,0,0,0,57,5,0,3217,2,29672.0,0.18811535949991443,14836.0,1,3,0,0,1,4,3,0,6,2,6,0,1,25
113,0,0,0,0,0,36,3,0,3077,2,34728.0,0.3405707561047367,17364.0,1,3,1,1,1,5,2,1,6,2,2,1,0,36
114,0,0,0,0,0,50,5,0,2862,4,38887.0,0.24653686926641857,19443.5,1,3,0,0,1,5,3,1,7,2,17,0,0,42
115,0,0,1,0,1,46,4,0,3381,3,81929.0,0.5044982358048486,40964.5,1,1,3,4,2,20,7,4,6,2,60,1,0,2053
116,0,0,0,0,0,57,5,0,3146,2,36317.0,0.23024351277158236,36317.0,0,3,0,0,2,9,4,3,7,2,53,0,1,133
117,0,0,0,1,1,67,6,0,3175,4,75261.0,0.7619283841380078,75261.0,0,3,3,6,1,17,5,5,2,1,17,1,0,1743
118,0,0,0,0,0,51,5,0,3289,2,52531.0,0.3330374747199381,52531.0,0,1,0,2,2,21,7,7,6,2,68,0,0,794
119,0,0,0,0,0,47,4,0,3067,4,60554.0,0.3728763462379231,30277.0,1,0,0,4,2,23,7,7,6,2,8,0,0,811
120,0,0,0,0,0,68,6,0,2863,3,62637.0,0.6341253530680219,62637.0,0,0,0,2,1,10,5,2,2,2,76,0,1,185
121,0,0,0,0,0,38,3,0,2828,2,31761.0,0.31147396293027363,15880.5,1,1,0,0,2,9,4,3,5,2,96,0,0,98
122,0,0,0,0,0,52,5,0,3118,2,72940.0,0.4624270127367133,72940.0,0,1,0,3,1,13,6,3,1,2,13,0,0,981
123,0,0,0,0,0,58,5,0,2822,4,65526.0,0.4154235321714543,65526.0,0,1,0,4,1,17,7,4,2,2,22,0,1,506
124,0,0,0,0,0,75,7,0,2927,0,81044.0,0.7125749555981501,81044.0,0,1,0,6,1,22,7,5,1,2,0,0,0,1208
125,0,0,0,0,0,61,6,0,3421,2,82014.0,0.8302945017564818,82014.0,0,2,1,6,1,22,7,3,6,2,48,1,0,1511
126,0,0,0,0,0,71,7,0,3086,3,39767.0,0.3496491814233211,39767.0,0,3,0,1,2,17,7,7,7,0,18,0,0,485
127,0,0,0,0,0,64,6,0,3165,1,15056.0,0.15242414732174495,7528.0,1,2,0,2,5,12,3,2,5,2,76,0,1,88
128,0,0,0,0,0,40,4,0,3094,2,28718.0,0.17683824208575283,14359.0,1,1,0,0,2,7,3,2,7,2,78,0,0,57
129,0,0,0,0,0,57,5,0,3210,2,23478.0,0.14884646839913018,23478.0,0,2,0,0,1,7,3,3,7,0,51,0,0,129
130,0,0,0,0,0,59,5,0,2925,2,80695.0,0.5115923744555673,80695.0,0,2,0,7,1,19,5,5,2,1,85,0,0,1918
131,0,0,0,0,0,43,4,0,2958,2,58025.0,0.35730339846179426,58025.0,0,1,0,2,3,18,7,3,4,2,81,0,1,470
132,0,0,0,0,0,55,5,0,2987,2,22574.0,0.14311526440250297,7524.666666666667,2,1,0,0,2,7,3,2,7,2,28,0,1,37
133,0,0,0,0,0,47,4,0,3312,4,76618.0,0.47179442970005603,76618.0,0,1,0,2,1,11,5,3,1,2,64,0,0,1511
134,0,0,0,0,0,33,3,0,2799,0,10404.0,0.10203000882612533,5202.0,1,3,0,0,2,7,4,1,5,2,52,0,0,43
135,0,0,0,0,0,48,4,0,3398,2,44989.0,0.27703097963632334,44989.0,0,1,0,1,5,16,5,5,6,0,26,0,1,369
136,0,0,0,0,0,47,4,0,2955,2,46149.0,0.28417396873094947,46149.0,0,1,0,1,5,18,7,5,5,2,36,0,1,362
137,1,0,1,0,1,47,4,0,3007,2,83829.0,0.5161979593219087,83829.0,0,0,4,7,0,17,6,4,1,1,78,1,0,1862
138,0,0,0,0,0,51,5,0,3303,0,78041.0,0.49476647245661975,78041.0,0,1,0,4,1,18,7,4,2,2,93,0,0,1319
139,0,0,0,0,0,35,3,0,3259,1,15038.0,0.14747474747474748,7519.0,1,2,0,1,2,7,2,2,7,0,93,0,0,80
140,0,0,0,0,0,40,4,0,3059,2,40479.0,0.24925953065635448,20239.5,1,3,0,0,1,4,3,0,4,2,95,0,0,15
141,0,0,0,0,0,43,4,0,3412,2,7500.0,0.04618311914628965,7500.0,0,1,0,0,1,4,2,1,7,2,61,0,1,18
142,0,0,0,0,0,37,3,0,3238,2,55357.0,0.5428753554967147,18452.333333333332,2,1,0,2,3,22,7,6,5,2,66,0,0,727
143,0,0,0,0,0,75,7,0,3052,2,74485.0,0.6549053053616333,74485.0,0,3,0,7,1,26,7,6,3,2,58,0,0,1734
144,0,0,0,0,0,72,7,0,2820,4,50616.0,0.4450384229869696,50616.0,0,3,0,1,1,7,4,1,2,2,71,0,1,67
145,0,0,0,0,1,33,3,0,3163,0,85710.0,0.8405413356869668,85710.0,0,1,1,7,1,26,7,6,2,2,5,0,0,1062
146,0,0,0,0,0,51,5,0,3001,2,70886.0,0.44940500719570414,35443.0,1,1,0,4,1,14,4,5,2,0,65,0,0,960
147,0,0,0,0,0,69,6,0,3154,2,58398.0,0.5912105044696639,58398.0,0,3,0,4,3,20,7,5,4,2,44,0,0,596
148,0,0,0,0,0,74,7,0,3007,4,46681.0,0.41044014982327187,46681.0,0,3,0,6,2,16,4,4,5,1,52,0,2,425
149,0,0,0,0,0,44,4,0,3125,2,66373.0,0.40870828894622435,33186.5,1,1,0,2,7,23,7,4,3,2,57,0,1,606
150,0,1,0,1,0,53,5,0,3326,4,55212.0,0.35003455205949296,55212.0,0,1,2,2,3,20,7,4,7,2,65,0,1,1182
151,0,0,0,0,0,37,3,0,3414,2,29103.0,0.28540747278611356,14551.5,1,3,0,0,2,6,3,1,7,2,38,0,0,48
152,0,0,0,0,0,45,4,0,2764,3,50353.0,0.3100611464497497,50353.0,0,1,0,4,1,15,6,4,3,2,72,0,0,442
153,0,0,0,0,0,45,4,0,3367,4,28973.0,0.17840846813672667,28973.0,0,1,0,1,2,13,5,5,7,0,59,0,0,269
154,0,0,0,0,0,31,3,0,3166,2,49767.0,0.48805531038540745,49767.0,0,2,0,4,1,18,7,5,4,2,92,0,0,692
155,0,0,0,0,0,47,4,0,3245,2,53201.0,0.3275984162269007,26600.5,1,2,0,3,7,22,5,6,7,0,49,0,1,415
156,0,0,0,0,0,65,6,0,2904,4,44155.0,0.4470170181317513,22077.5,1,1,0,1,1,5,2,1,4,2,24,0,1,46
157,0,0,0,0,0,52,5,0,3385,2,83273.0,0.5279364495698428,41636.5,1,2,0,6,7,29,7,4,7,2,98,0,2,1392
158,0,0,0,0,0,52,5,0,3420,3,44802.0,0.2840369485142614,44802.0,0,2,0,4,2,27,7,7,7,2,71,0,0,1049
159,0,0,0,1,1,40,4,0,3069,4,84169.0,0.5182915940565405,84169.0,0,1,3,6,1,20,6,7,3,0,9,1,0,1919
160,0,0,0,0,0,44,4,0,3309,2,41580.0,0.2560392125470298,20790.0,1,3,0,1,3,9,3,2,5,2,15,0,1,92
161,0,0,0,0,0,52,5,0,3198,2,58710.0,0.3722112684092739,58710.0,0,0,0,5,6,31,7,7,6,0,77,0,1,1185
162,0,0,0,0,0,64,6,0,2923,3,51412.0,0.5204855381313463,51412.0,0,1,0,2,2,11,4,3,4,2,42,0,1,195
163,0,0,0,0,0,72,7,0,3274,2,28320.0,0.2490020574322542,28320.0,0,3,0,0,1,5,3,1,7,2,68,0,1,43
164,1,0,0,0,1,53,5,0,3060,2,76653.0,0.4859667919839222,76653.0,0,3,2,7,1,23,7,4,2,2,91,0,0,2279
165,0,0,0,0,0,52,5,0,2885,2,64713.0,0.41026925247094775,32356.5,1,0,1,5,2,19,7,5,4,2,11,1,0,602
166,0,0,0,0,0,64,6,0,3386,4,78952.0,0.7992953825283213,78952.0,0,3,0,5,2,21,7,2,6,2,11,0,1,2092
167,0,0,1,0,0,46,4,0,3440,2,7500.0,0.04618311914628965,3750.0,1,1,2,1,5,12,2,4,7,0,19,1,0,71
168,0,0,0,0,0,39,3,0,2800,2,43776.0,0.4293027360988526,21888.0,1,3,0,0,1,4,2,1,6,2,77,0,0,23
169,0,0,0,0,0,47,4,0,3001,4,40233.0,0.24774472434835618,40233.0,0,1,0,1,5,13,5,2,6,2,84,0,1,149
170,0,0,0,0,0,63,6,0,3210,2,35701.0,0.36143029247699365,35701.0,0,1,0,0,1,5,3,1,6,2,36,0,0,46
171,0,0,0,0,0,53,5,0,3030,2,25293.0,0.1603532551843939,12646.5,1,1,0,1,1,5,2,1,7,2,51,0,0,37
172,0,0,0,0,1,43,4,0,2920,2,90300.0,0.5560447545213274,90300.0,0,3,1,6,0,19,7,5,1,2,7,0,0,1738
173,0,0,0,0,0,49,4,0,3378,1,9722.0,0.059865637912030395,4861.0,1,3,1,1,4,11,3,3,7,0,7,1,0,103
174,1,0,1,0,1,33,3,0,2801,3,88420.0,0.867117779739139,88420.0,0,3,3,7,1,20,7,4,1,2,87,0,0,2069
175,0,0,1,0,0,46,4,0,2845,2,39356.0,0.24234437828285005,19678.0,1,1,1,0,1,4,2,1,6,2,21,0,1,23
176,0,0,0,0,0,70,7,0,3398,2,43462.0,0.38213726765962686,21731.0,1,3,0,1,6,16,5,4,7,2,50,0,1,240
177,0,0,0,0,0,63,6,0,3303,2,61250.0,0.6200836227056906,61250.0,0,0,0,2,6,25,7,5,5,2,49,0,1,730
178,0,0,0,0,0,59,5,0,3157,3,38620.0,0.24484413534263597,38620.0,0,3,0,5,1,11,3,2,3,1,56,0,0,318
179,0,0,0,0,1,81,7,0,3185,4,93027.0,0.8179348303937257,93027.0,0,1,1,7,0,22,5,7,2,1,77,0,0,2119
180,0,0,0,0,0,53,5,0,2874,3,43142.0,0.27351283498063184,21571.0,1,1,0,0,1,4,2,1,7,2,84,0,1,20
181,0,0,0,0,0,50,5,0,3145,2,62710.0,0.3975705781288633,62710.0,0,1,0,2,4,22,7,4,4,2,53,0,1,606
182,0,0,0,0,0,51,5,0,2785,2,1730.0,0.01096790145372243,1730.0,0,0,0,0,7,15,0,0,7,0,65,0,0,8
183,0,0,0,0,0,40,4,0,3246,4,32313.0,0.19897535052987433,16156.5,1,3,0,0,3,11,4,4,7,0,60,0,0,159
184,0,0,0,0,0,71,7,0,3211,2,40689.0,0.3577558162027186,40689.0,0,3,0,1,7,20,5,7,7,0,69,0,1,444
185,0,0,0,0,0,53,5,0,3255,2,52413.0,0.3322893750832102,52413.0,0,1,0,4,4,26,7,6,6,2,56,0,2,910
186,1,0,0,0,0,73,7,0,3134,0,74859.0,0.6581936799901524,74859.0,0,4,1,5,1,23,7,6,3,2,63,0,0,1565
187,0,0,0,0,0,65,6,0,3390,4,37633.0,0.3809895016046246,18816.5,1,1,0,0,2,6,3,1,7,2,49,0,1,38
188,0,0,0,0,1,56,5,0,3339,2,80398.0,0.5097094457088878,80398.0,0,1,1,7,1,26,7,5,3,2,92,0,0,1597
189,0,0,0,0,0,39,3,0,3107,2,22010.0,0.21584779837207022,11005.0,1,3,0,0,2,7,3,2,7,2,51,0,0,33
190,0,0,0,0,0,49,4,0,2881,2,42429.0,0.2612671416343898,42429.0,0,4,0,1,2,7,3,1,5,2,99,0,1,67
191,0,0,0,0,0,74,7,0,3039,2,42192.0,0.3709708618355109,42192.0,0,1,0,1,1,7,3,2,4,2,40,0,0,100
192,0,0,0,0,0,59,5,0,2997,2,68118.0,0.43185636486974827,68118.0,0,0,0,7,2,23,4,7,6,1,51,0,1,928
